STATE,STATENAME,ST_CASE,VEH_NO,MOD_YEAR,MOD_YEARNAME,VPICBODYCLASSNAME,MAKENAME,BODY_TYP,BODY_TYPNAME,ROLLOVER,ROLLOVERNAME,FIRE_EXP,FIRE_EXPNAME,DEATHS,DR_DRINK,DR_DRINKNAME,SPEEDREL,SPEEDRELNAME,VSPD_LIM,VSPD_LIMNAME,VSURCOND,VSURCONDNAME
1,Alabama,10075,2,2007,2007,Sedan/Saloon,Mitsubishi,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,60,60 MPH,1,Dry
1,Alabama,10076,1,2023,2023,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),KIA,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,1,0,No,0,No,45,45 MPH,1,Dry
1,Alabama,10076,2,2020,2020,Bus,Other Make,58,Other Bus Type,3,Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10077,1,2002,2002,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Ford,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,1,0,No,0,No,65,65 MPH,1,Dry
1,Alabama,10077,2,2005,2005,Truck-Tractor,Kenworth,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,No Rollover,0,No or Not Reported,0,0,No,0,No,65,65 MPH,1,Dry
1,Alabama,10078,1,1995,1995,Pickup,Chevrolet,34,Light Pickup,3,Rollover,0,No or Not Reported,2,0,No,0,No,30,30 MPH,1,Dry
1,Alabama,10078,2,2016,2016,Pickup,Dodge,34,Light Pickup,0,No Rollover,0,No or Not Reported,0,0,No,0,No,65,65 MPH,1,Dry
1,Alabama,10079,1,2008,2008,Sedan/Saloon,Ford,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,1,Yes,3,"Yes, Exceeded Speed Limit",45,45 MPH,1,Dry
1,Alabama,10080,1,2018,2018,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Dodge,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0,No Rollover,0,No or Not Reported,1,0,No,9,Reported as Unknown,65,65 MPH,1,Dry
1,Alabama,10081,1,2003,2003,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Chevrolet,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",3,Rollover,0,No or Not Reported,1,1,Yes,0,No,65,65 MPH,1,Dry
